,account_type,data_holder,txn_date,transaction_type,txn_count,total_amount_aud,avg_amount_aud
0,credit_card,ANZ,2026-01-20,credit,1,1221.71,1221.71
1,credit_card,ANZ,2026-01-20,debit,2,2174.36,1087.18
2,credit_card,ANZ,2026-01-21,credit,4,7382.52,1845.63
3,credit_card,ANZ,2026-01-21,debit,1,3256.2,3256.2
4,credit_card,ANZ,2026-01-22,credit,1,3663.95,3663.95
5,credit_card,ANZ,2026-01-23,debit,1,3105.54,3105.54
6,credit_card,ANZ,2026-01-24,debit,1,258.74,258.74
7,credit_card,ANZ,2026-01-25,credit,1,96.18,96.18
8,credit_card,ANZ,2026-01-26,credit,1,505.09,505.09
9,credit_card,ANZ,2026-01-26,debit,1,3772.6,3772.6
10,credit_card,ANZ,2026-01-27,credit,2,379.46,189.73
11,credit_card,ANZ,2026-01-28,debit,1,945.04,945.04
12,credit_card,ANZ,2026-01-29,credit,2,5902.75,2951.38
13,credit_card,ANZ,2026-01-29,debit,1,2874.45,2874.45
14,credit_card,ANZ,2026-01-30,debit,1,1109.55,1109.55
15,credit_card,ANZ,2026-01-31,credit,3,6382.57,2127.52
16,credit_card,ANZ,2026-01-31,debit,1,617.31,617.31
17,credit_card,ANZ,2026-02-02,credit,1,1610.85,1610.85
18,credit_card,ANZ,2026-02-02,debit,2,7009.79,3504.89
19,credit_card,ANZ,2026-02-03,debit,1,3443.73,3443.73
20,credit_card,ANZ,2026-02-04,credit,2,6801.93,3400.97
21,credit_card,ANZ,2026-02-04,debit,1,3675.59,3675.59
22,credit_card,ANZ,2026-02-05,credit,1,626.31,626.31
23,credit_card,ANZ,2026-02-05,debit,3,9234.58,3078.19
24,credit_card,ANZ,2026-02-06,credit,1,4205.96,4205.96
25,credit_card,ANZ,2026-02-06,debit,2,1317.22,658.61
26,credit_card,ANZ,2026-02-07,credit,1,1823.52,1823.52
27,credit_card,ANZ,2026-02-07,debit,1,328.76,328.76
28,credit_card,ANZ,2026-02-08,credit,3,4618.62,1539.54
29,credit_card,ANZ,2026-02-08,debit,4,8197.23,2049.31
30,credit_card,ANZ,2026-02-09,credit,1,1037.6,1037.6
31,credit_card,ANZ,2026-02-10,credit,3,10822.48,3607.49
32,credit_card,ANZ,2026-02-10,debit,1,4491.4,4491.4
33,credit_card,ANZ,2026-02-11,debit,3,8236.23,2745.41
34,credit_card,ANZ,2026-02-12,credit,1,354.39,354.39
35,credit_card,ANZ,2026-02-12,debit,1,2644.83,2644.83
36,credit_card,ANZ,2026-02-13,debit,2,2460.41,1230.2
37,credit_card,ANZ,2026-02-14,credit,2,5210.21,2605.11
38,credit_card,ANZ,2026-02-15,credit,2,4931.78,2465.89
39,credit_card,ANZ,2026-02-15,debit,1,664.62,664.62
40,credit_card,ANZ,2026-02-16,credit,2,6134.0,3067.0
41,credit_card,ANZ,2026-02-16,debit,2,4437.65,2218.82
42,credit_card,ANZ,2026-02-17,credit,2,3330.64,1665.32
43,credit_card,ANZ,2026-02-18,debit,1,3028.56,3028.56
44,credit_card,ANZ,2026-02-19,credit,1,2450.29,2450.29
45,credit_card,ANZ,2026-02-19,debit,1,3509.97,3509.97
46,credit_card,ANZ,2026-02-20,credit,4,10994.53,2748.63
47,credit_card,ANZ,2026-02-20,debit,2,5414.09,2707.05
48,credit_card,ANZ,2026-02-21,credit,2,5334.66,2667.33
49,credit_card,ANZ,2026-02-21,debit,3,4394.37,1464.79
50,credit_card,ANZ,2026-02-22,credit,3,4435.68,1478.56
51,credit_card,ANZ,2026-02-23,credit,2,5946.9,2973.45
52,credit_card,ANZ,2026-02-24,credit,1,2876.67,2876.67
53,credit_card,ANZ,2026-02-24,debit,1,4458.05,4458.05
54,credit_card,ANZ,2026-02-25,credit,1,1198.02,1198.02
55,credit_card,ANZ,2026-02-25,debit,1,3982.89,3982.89
56,credit_card,ANZ,2026-02-26,debit,3,7364.11,2454.7
57,credit_card,ANZ,2026-02-27,credit,1,2847.62,2847.62
58,credit_card,ANZ,2026-02-27,debit,1,3543.01,3543.01
59,credit_card,ANZ,2026-02-28,credit,4,7810.38,1952.6
60,credit_card,ANZ,2026-03-01,credit,1,2343.4,2343.4
61,credit_card,ANZ,2026-03-01,debit,1,2972.91,2972.91
62,credit_card,ANZ,2026-03-02,credit,2,6743.69,3371.85
63,credit_card,ANZ,2026-03-03,credit,2,1449.91,724.95
64,credit_card,ANZ,2026-03-03,debit,2,4893.18,2446.59
65,credit_card,ANZ,2026-03-04,credit,2,6670.69,3335.34
66,credit_card,ANZ,2026-03-04,debit,1,3180.78,3180.78
67,credit_card,ANZ,2026-03-05,credit,1,3277.25,3277.25
68,credit_card,ANZ,2026-03-05,debit,1,2560.5,2560.5
69,credit_card,ANZ,2026-03-06,credit,4,6664.84,1666.21
70,credit_card,ANZ,2026-03-06,debit,3,2919.68,973.23
71,credit_card,ANZ,2026-03-07,credit,1,2061.84,2061.84
72,credit_card,ANZ,2026-03-08,credit,1,3393.14,3393.14
73,credit_card,ANZ,2026-03-08,debit,4,13909.71,3477.43
74,credit_card,ANZ,2026-03-09,credit,3,10131.35,3377.12
75,credit_card,ANZ,2026-03-09,debit,1,1443.13,1443.13
76,credit_card,ANZ,2026-03-10,credit,1,1382.07,1382.07
77,credit_card,ANZ,2026-03-10,debit,2,5798.23,2899.11
